family,instrument,band_index,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_centre_hz,f_hi_hz,f_lo_hz,modes_per_band
plate,cymbal_46cm_medium,19,0.00695568796830496,,0.006578408120340645,0.023856448786068997,0.007391351922065986,1799.050003290016,1911.5295361791561,1693.1890682721116,6.0
plate,cymbal_46cm_medium,20,0.006664425323457723,,0.003384620372840728,0.020285914184205264,0.006152038726425731,2029.4634099536993,2154.6733411054515,1911.5295361791561,5.0
plate,cymbal_46cm_medium,21,0.006240548529139681,,0.0015988455352017059,0.01667355727587974,0.004915153258362354,2286.0504961747515,2425.4381262171387,2154.6733411054515,4.0
plate,cymbal_46cm_medium,22,0.0036422812441076753,,0.00044954584717971514,0.008439240315024688,0.0024540424001404347,2571.784725619831,2726.9616171356174,2425.4381262171387,2.0
plate,cymbal_46cm_medium,23,0.04445773145420406,,0.0025619769577733694,0.08815616067139899,0.02619573248462433,2889.9773222733784,3062.7379830990285,2726.9616171356174,21.382651419201864
plate,cymbal_46cm_medium,24,0.054476285545963364,,0.0014342910222449143,0.09111561202204979,0.029121440346140958,3244.3156440657726,3436.658328728339,3062.7379830990285,23.811706896638068
plate,cymbal_46cm_medium,25,0.06374539589106742,,0.0007530882097271574,0.0885157048097144,0.03236871973745773,3638.905914797386,3853.0557856320793,3436.658328728339,26.516701517298067
plate,cymbal_46cm_medium,26,0.0709146648455585,,0.0003686006387819462,0.08034251572658627,0.03597178155728306,4078.320809686421,4316.755726388418,3853.0557856320793,29.52898179074874
plate,cymbal_46cm_medium,27,0.07496691507027003,,0.0001670604206706642,0.06799111589615095,0.03996822768250421,4567.652446074554,4833.131682803398,4316.755726388418,32.883455169925966
plate,cymbal_46cm_medium,28,0.0755478745385523,,6.960343006246951e-05,0.053719162635854585,0.04439933167528003,5112.571393434344,5408.167616447384,4833.131682803398,36.61899457201373
plate,cymbal_46cm_medium,29,0.07307492363503598,,2.644602897128497e-05,0.03981924908212606,0.04931032977697455,5719.392386557584,6048.527263084527,5408.167616447384,40.77888885263997
plate,cymbal_46cm_medium,30,0.0685798321262144,,9.083824018191083e-06,0.02793141790952405,0.054750719042457534,6395.147503469621,6761.631354584867,6048.527263084527,45.41134445364735
plate,cymbal_46cm_medium,31,0.06336400850784975,,2.7938461960651907e-06,0.018768838579583096,0.06077455829925571,7147.667656109318,7555.743613196125,6761.631354584867,50.570044037732885
plate,cymbal_46cm_medium,32,0.05861996754436626,,7.614062734667495e-07,0.012255749141411794,0.0674407661785691,7985.673338139188,8440.066514709539,7555.743613196125,56.31476858362034
plate,cymbal_46cm_medium,33,0.05516313379568183,,1.8177559242001143e-07,0.007877942030336243,0.07481340871220493,8918.87568152042,9424.847930259928,8440.066514709539,62.71209015084975
plate,cymbal_46cm_medium,34,0.05334233505744359,,3.7541750236526975e-08,0.005020277714141545,0.08296196686868487,9958.08899294587,10521.49988256573,9424.847930259928,69.83614334219511
plate,cymbal_46cm_medium,35,0.053108353628957765,,6.615963930141616e-09,0.0031670694996495962,0.09196157185645198,11115.35607425443,11742.730792801776,10521.49988256573,77.76948440372809
plate,cymbal_46cm_medium,36,0.054165395744110036,,9.80048774883552e-10,0.001960596664020757,0.10189319299192282,12404.08777909383,13102.692750631822,11742.730792801776,86.60404791808347
plate,cymbal_46cm_medium,37,0.056125951680185145,,1.2004321086238388e-10,0.0011764321640982949,0.11284375935375178,13839.218423072582,14617.145514022386,13102.692750631822,96.44221217748284
plate,gong_50cm_bronze,0,0.0,,0.0,0.0,0.0,31.070005997851133,48.26726363532532,19.999999999999982,0.0
plate,gong_50cm_bronze,1,0.0015215055236040148,,0.11561188186782284,0.015682697767884408,0.0018466920490304416,62.04115804080137,79.74567027716589,48.26726363532532,1.0
plate,gong_50cm_bronze,2,0.0,,0.0,0.0,0.0,95.6807360113951,114.80000371009025,79.74567027716589,0.0
plate,gong_50cm_bronze,3,0.0015137728127998982,,0.09096392428305676,0.014703981691807694,0.0018455854008486846,132.8925478326256,153.83648692246896,114.80000371009025,1.0
plate,gong_50cm_bronze,4,0.0015096105068408694,,0.07990917718713791,0.01420076403439691,0.0018449876558653577,174.22138513818598,197.30748957342993,153.83648692246896,1.0
plate,gong_50cm_bronze,5,0.0,,0.0,0.0,0.0,220.18573768342424,245.71677022503872,197.30748957342993,0.0
plate,gong_50cm_bronze,6,0.0030008548756517935,,0.11992917798499396,0.02629227096138725,0.0036873274457274187,271.33552007714667,299.62531408868983,245.71677022503872,2.0
plate,gong_50cm_bronze,7,0.0029906478937207132,,0.10216236697007097,0.025183378769788062,0.003685849695111181,328.2721301869142,359.65783393574134,299.62531408868983,2.0
plate,gong_50cm_bronze,8,0.0,,0.0,0.0,0.0,391.6601411572962,426.51000950742576,359.65783393574134,0.0
plate,gong_50cm_bronze,9,0.002967792064000326,,0.07119377609410477,0.022853992232706614,0.0036825232619661107,462.2369334140603,500.9565493170786,426.51000950742576,2.0
plate,gong_50cm_bronze,10,0.0044325218681302795,,0.08710163359153958,0.032454432082146795,0.005520971312201514,540.822128965883,583.8601682679283,500.9565493170786,3.0
plate,gong_50cm_bronze,11,0.004412072104441814,,0.0698009279045272,0.030581928241829336,0.005517915909249166,628.3275372521083,676.1815851225036,583.8601682679283,3.0
plate,gong_50cm_bronze,12,0.004391042854448034,,0.05486129821409454,0.028674948602867543,0.0055145945837313266,725.7679631618286,778.9906556781491,676.1815851225036,3.0
plate,gong_50cm_bronze,13,0.005829212112974423,,0.056278496087398315,0.0356749935810229,0.007347975011403193,834.2731048009164,893.4787706641346,778.9906556781491,4.0
plate,gong_50cm_bronze,14,0.005815180858799638,,0.042296308053055114,0.03316021713055406,0.007342730196509665,955.1007271246142,1020.9726620319176,893.4787706641346,4.0
plate,gong_50cm_bronze,15,0.005832829760679471,,0.030980812791509767,0.03079420887778404,0.0073370173577676015,1089.651288384257,1162.94977763112,1020.9726620319176,4.0
plate,gong_50cm_bronze,16,0.007400920867762721,,0.02757664845223435,0.0359235154430442,0.009163489914273093,1239.484201797112,1321.055402438827,1162.94977763112,5.0
plate,gong_50cm_bronze,17,0.006141149339656713,,0.015231302696738521,0.027197022377051003,0.0073240054217467284,1406.3359280729921,1497.1217247495472,1321.055402438827,4.0
plate,gong_50cm_bronze,18,0.0065771988940496314,,0.01016526875024639,0.026354038406304355,0.007316605036437387,1592.1401126215692,1693.1890682721116,1497.1217247495472,4.0
plate,gong_50cm_bronze,19,0.016459439496480904,,0.01470783382939942,0.05912381586465142,0.016444199921472186,1799.050003290016,1911.5295361791561,1693.1890682721116,9.0
plate,gong_50cm_bronze,20,0.008410782150482134,,0.004035864653672564,0.026813281739254832,0.007299727631871471,2029.4634099536993,2154.6733411054515,1911.5295361791561,4.0
plate,gong_50cm_bronze,21,0.017228382484903437,,0.004170433488445106,0.04820939873320165,0.01275770986015953,2286.0504961747515,2425.4381262171387,2154.6733411054515,7.0
plate,gong_50cm_bronze,22,0.008618832247756326,,0.0010050829164234736,0.020915103287058832,0.005459727025472091,2571.784725619831,2726.9616171356174,2425.4381262171387,3.0
plate,gong_50cm_bronze,23,0.016399833459632477,,0.000892935953169448,0.034058578396125146,0.0090852441614885,2889.9773222733784,3062.7379830990285,2726.9616171356174,5.0
plate,gong_50cm_bronze,24,0.0144364576875799,,0.0003591231364487829,0.025288767317880583,0.007255710111524139,3244.3156440657726,3436.658328728339,3062.7379830990285,4.0
plate,gong_50cm_bronze,25,0.007584780371926068,,8.466286990552558e-05,0.011030526136280796,0.003621042534625463,3638.905914797386,3853.0557856320793,3436.658328728339,2.0
plate,gong_50cm_bronze,26,0.07930404540216159,,0.00038946489799375884,0.09409930650127757,0.03782118670784022,4078.320809686421,4316.755726388418,3853.0557856320793,20.93264304637198
plate,gong_50cm_bronze,27,0.08383568686872307,,0.00017651670358006301,0.07963301617102152,0.042023100778432326,4567.652446074554,4833.131682803398,4316.755726388418,23.310577861478706
plate,gong_50cm_bronze,28,0.08448537528154727,,7.354326047528042e-05,0.0629173222191065,0.046682019635863777,5112.571393434344,5408.167616447384,4833.131682803398,25.958644545378352
plate,gong_50cm_bronze,29,0.08171986815891075,,2.7942979181147224e-05,0.04663737113710745,0.0518455052372165,5719.392386557584,6048.527263084527,5408.167616447384,28.907529904990525
plate,gong_50cm_bronze,30,0.07669299618710049,,9.59800451330994e-06,0.032714024836215494,0.05756559941285519,6395.147503469621,6761.631354584867,6048.527263084527,32.19140674880483
plate,gong_50cm_bronze,31,0.07086012771142912,,2.9519889801506098e-06,0.021982566492982726,0.06389914029869029,7147.667656109318,7555.743613196125,6761.631354584867,35.84832989442312
plate,gong_50cm_bronze,32,0.065554854947648,,8.045048907334124e-07,0.014354261681139414,0.07090807568976326,7985.673338139188,8440.066514709539,7555.743613196125,39.92067716230175
plate,gong_50cm_bronze,33,0.061689069201491926,,1.920648124581664e-07,0.00922685672719854,0.0786597654233052,8918.87568152042,9424.847930259928,8440.066514709539,44.45564046610331
plate,gong_50cm_bronze,34,0.059652865461124284,,3.9666762311352474e-08,0.005879883733690631,0.08722726266958836,9958.08899294587,10521.49988256573,9424.847930259928,49.50577269059199
plate,gong_50cm_bronze,35,0.059391203449912444,,6.9904537487990826e-09,0.0037093566322041025,0.09668956133269796,11115.35607425443,11742.730792801776,10521.49988256573,55.12959669451423
plate,gong_50cm_bronze,36,0.06057329626632209,,1.0355234255704337e-09,0.0022963033301186685,0.10713179357738153,12404.08777909383,13102.692750631822,11742.730792801776,61.39228349580585
plate,gong_50cm_bronze,37,0.06276579082730734,,1.2683813307501934e-10,0.0013778688629090857,0.11864535773788316,13839.218423072582,14617.145514022386,13102.692750631822,68.36640749821562
plate,tamtam_80cm_bronze,0,0.00036957614509493475,,0.03319938711336926,0.003317087907924268,0.0004826803257756117,31.070005997851133,48.26726363532532,19.999999999999982,1.0
plate,tamtam_80cm_bronze,1,0.0011059545874690438,,0.08852306174531235,0.00964094505860635,0.0014476143003486037,62.04115804080137,79.74567027716589,48.26726363532532,3.0
plate,tamtam_80cm_bronze,2,0.0007354654474871266,,0.0524764734888678,0.006227617891572309,0.0009647929122156406,95.6807360113951,114.80000371009025,79.74567027716589,2.0
plate,tamtam_80cm_bronze,3,0.0007335558807727695,,0.0464335496537235,0.006026185959058371,0.0009644978689276215,132.8925478326256,153.83648692246896,114.80000371009025,2.0
plate,tamtam_80cm_bronze,4,0.0021946166338948445,,0.12237159212132676,0.017459851343462143,0.0028925564671159884,174.22138513818598,197.30748957342993,153.83648692246896,6.0
plate,tamtam_80cm_bronze,5,0.0010940851384265776,,0.053275865629211674,0.00841110915811725,0.0014457777934681795,220.18573768342424,245.71677022503872,197.30748957342993,3.0
plate,tamtam_80cm_bronze,6,0.0029083554979540973,,0.12243837289974331,0.02155091286430883,0.00385397442113166,271.33552007714667,299.62531408868983,245.71677022503872,8.0
plate,tamtam_80cm_bronze,7,0.0014492315697636458,,0.052149919617422456,0.01032099513757544,0.0019262149421465453,328.2721301869142,359.65783393574134,299.62531408868983,4.0
plate,tamtam_80cm_bronze,8,0.003248782369559435,,0.09866217086230375,0.022165179219058244,0.00433210577299444,391.6601411572962,426.51000950742576,359.65783393574134,9.0
plate,tamtam_80cm_bronze,9,0.0014381559128621847,,0.03634165701795071,0.00936633423434535,0.001924476557307743,462.2369334140603,500.9565493170786,426.51000950742576,4.0
plate,tamtam_80cm_bronze,10,0.0032219192228127402,,0.06669300044226184,0.019951375792817916,0.004327866699568792,540.822128965883,583.8601682679283,500.9565493170786,9.0
plate,tamtam_80cm_bronze,11,0.0028507152559398897,,0.04750754950054467,0.01671133623844856,0.0038448636282344033,628.3275372521083,676.1815851225036,583.8601682679283,8.0
plate,tamtam_80cm_bronze,12,0.00212784592335745,,0.028004561531063794,0.011751957821301997,0.0028819120055689836,725.7679631618286,778.9906556781491,676.1815851225036,6.0
plate,tamtam_80cm_bronze,13,0.0017654782761932397,,0.017954991244519658,0.00913800722116802,0.0024000197431167437,834.2731048009164,893.4787706641346,778.9906556781491,5.0
plate,tamtam_80cm_bronze,14,0.001408982933456078,,0.010795311084201623,0.006795085816204686,0.001918645331553722,955.1007271246142,1020.9726620319176,893.4787706641346,4.0
plate,tamtam_80cm_bronze,15,0.0007066295774890566,,0.003953625353142415,0.003155125479770623,0.0009585762873121048,1089.651288384257,1162.94977763112,1020.9726620319176,2.0
